PD#PN;PageRank;InDegree;OutDegree
DS.AA.001;0.002898504274451285;17;9
TS.AA.004;0.0016165542479217136;13;4
TL.GG.012;0.0017230645905123437;10;4
TL.HH.010;0.001857805319952591;21;7
BM.DD.005;0.0024540150179830026;19;14
LD.AA.006;0.0015348967825545307;14;14
LD.AA.007;0.0009203830183715317;10;6
LD.EE.003;0.0023018578531150457;14;17
ER.FF.001;0.0029356002496675228;15;4
SI.AA.007;0.0009298698101002101;6;3
TL.HH.006;0.002058583648269259;18;12
KD.BB.002;0.001047292119283569;12;6
LD.FF.007;0.0007013263141760337;5;8
ER.EE.001;0.001042123352107775;6;6
KD.FF.016;0.0017980642413133563;10;9
TL.HH.011;0.0007029742151509285;7;6
BM.AA.001;0.0008779903168971046;10;5
BM.AA.003;0.001102535953918287;8;6
BM.AA.004;0.0008997938490230591;7;6
BM.AA.005;0.0017213339717381073;11;13
BM.AA.009;0.0005642459830137576;4;5
BM.AA.010;0.0003136751460298505;3;13
BM.AA.011;0.0003913775487248626;3;2
BM.AA.012;0.00036195622843424665;4;13
BM.AA.015;0.000297671465604461;3;12
BM.DD.002;0.00027878088570225363;2;6
BM.DD.003;0.0002941745804323653;3;9
BM.DD.004;0.0010635900537714316;7;4
BM.DD.007;0.00027878088570225363;2;10
BM.DD.008;0.0004276172540090519;3;5
KD.FF.009;0.0011006534848907652;12;6
KD.HH.006;0.00045338688656190534;5;16
SI.BB.003;0.0011655117193220548;7;8
TL.BB.002;0.0005403099895695962;5;3
TL.BB.006;0.000539637407491296;5;8
TL.BB.007;0.0005253008192396703;5;4
TL.BB.008;0.000700332042755703;7;7
KD.FF.021;0.001179566486336658;10;24
DD.AA.007;0.0013246742697263416;8;2
KD.FF.017;0.0017896461328060537;12;6
IS.BB.009;0.0010190440720898198;8;7
SI.BB.006;0.0013467218931242754;6;5
TL.II.014;0.0008780503771979876;6;15
MR.AA.007;0.00024630119401982623;3;6
TL.JJ.011;0.0004002522913352873;6;18
TL.LL.004;0.0004722588612173439;4;7
TL.JJ.009;0.0009400484332276348;9;9
FT.BB.001;0.0024468076941090186;16;3
SI.AA.006;0.00028236841559230034;2;1
TL.JJ.012;0.0018034926297154055;11;15
SI.AA.011;0.0010562723240259446;10;5
TL.KK.002;0.0008968400770864745;9;8
BM.BB.002;0.001122819856710476;1;4
BM.BB.003;0.0013614242185508924;2;9
BM.BB.004;0.0020835550036838258;6;7
PS.HH.002;0.002751759305992456;20;11
BM.CC.005;0.00044961214516972504;3;5
BM.CC.006;0.0005245203683031484;4;11
BM.CC.007;0.00028512646493293977;3;11
LD.GG.008;0.00029987593939952227;3;13
PS.II.002;0.0008813880494590703;11;11
TL.JJ.002;0.0002629454066216336;3;0
PS.HH.001;0.001211713682438443;8;4
PS.AA.004;0.0019415954611160548;16;8
PS.KK.002;0.0006280989391197527;5;8
TL.II.013;0.0013092153113653106;9;12
DS.FF.006;0.0010618157086355756;13;9
FT.GG.001;0.0005187870410927341;6;196
QD.BB.002;0.0015323462447626678;6;8
TL.HH.007;0.0003487566554038387;4;15
